Nombre
Avia Terai
Barranqueras
Barrio de los Pescadores
Basail
Campo Largo
Capitán Solari
Charadai
Charata
Chorotis
Ciervo Petiso
Colonia Aborigen
Colonia Baranda
Colonia Benítez
Colonia Elisa
Colonia Popular
Colonias Unidas
Concepción del Bermejo
Coronel Du Graty
Corzuela
Cote Lai
El Espinillo
El Sauzal
El Sauzalito
Enrique Urién
Estación General Obligado
Fontana
Fortín Las Chuñas
Fortín Lavalle
Fuerte Esperanza
Gancedo
General Capdevila
General José de San Martín
General Pinedo
General Vedia
Haumonía
Hermoso Campo
Horquilla
Ingeniero Barbet
Isla del Cerrito
Itín
Juan José Castelli
La Clotilde
La Eduvigis
La Escondida
Laguna Blanca
Laguna Limpia
La Leonesa
Lapachito
La Sabana
Las Breñas
Las Garcitas
Las Palmas
La Tigra
La Verde
Los Frentones
Machagai
Makallé
Margarita Belén
Mesón de Fierro
Miraflores
Napalpí
Napenay
Nueva Pompeya
Pampa Almirón
Pampa del Indio
Pampa del Infierno
Pampa Landriel
Presidencia de la Plaza
Presidencia Roca
Presidencia Roque Sáenz Peña
Puerto Bermejo Nuevo
Puerto Bermejo Viejo
Puerto Eva Perón
Puerto Tirol
Puerto Vilelas
Quitilipi
Resistencia
Río Muerto
Samuhú
San Bernardo
Santa Sylvina
Selvas del Río de Oro
Taco Pozo
Tres Isletas
Venados Grandes
Villa Ángela
Villa Berthet
Villa El Palmar
Villa Río Bermejito
Wichí
Zaparinqui
